
Consumer group 'disaggregated-streaming' has no active members.

GROUP                   TOPIC                             PARTITION  CURRENT-OFFSET  LOG-END-OFFSET  LAG             CONSUMER-ID     HOST            CLIENT-ID
disaggregated-streaming nexmark-formal-q6-20260715-060813 4          12              12              0               -               -               -
disaggregated-streaming nexmark-auto-171129               2          12499           12499           0               -               -               -
disaggregated-streaming nexmark-auto-213939               3          5875012         5875012         0               -               -               -
disaggregated-streaming nexmark-auto-201537               2          650012          650012          0               -               -               -
disaggregated-streaming nexmark-auto-181034               3          2625013         2625013         0               -               -               -
disaggregated-streaming nexmark-auto-212300               3          2600013         5875013         3275000         -               -               -
disaggregated-streaming nexmark-auto-165237               2          65              65              0               -               -               -
disaggregated-streaming nexmark-auto-172533               5          12499           12499           0               -               -               -
disaggregated-streaming nexmark-auto-194255               0          925013          925013          0               -               -               -
disaggregated-streaming nexmark-auto-202953               6          2500013         2950013         450000          -               -               -
disaggregated-streaming nexmark-auto-171129               1          12501           12501           0               -               -               -
disaggregated-streaming nexmark-auto-213939               0          5875012         5875012         0               -               -               -
disaggregated-streaming nexmark-formal-q6-20260715-060813 5          12              12              0               -               -               -
disaggregated-streaming nexmark-auto-190851               0          4700013         4700013         0               -               -               -
disaggregated-streaming q6-formal-20260715T174017Z-topic  0          5875013         5875013         0               -               -               -
disaggregated-streaming nexmark-auto-181034               4          2625012         2625012         0               -               -               -
disaggregated-streaming nexmark-auto-201537               3          650013          650013          0               -               -               -
disaggregated-streaming nexmark-auto-212300               4          2452992         5875012         3422020         -               -               -
disaggregated-streaming nexmark-auto-165237               1          60              60              0               -               -               -
disaggregated-streaming nexmark-auto-154848               4          509673          15012501        14502828        -               -               -
disaggregated-streaming nexmark-auto-172533               4          12502           12502           0               -               -               -
disaggregated-streaming nexmark-auto-202953               7          2475013         2950013         475000          -               -               -
disaggregated-streaming nexmark-auto-194255               1          925010          925010          0               -               -               -
disaggregated-streaming q6-formal-20260715T174017Z-topic  1          5875013         5875013         0               -               -               -
disaggregated-streaming nexmark-auto-171129               0          12501           12501           0               -               -               -
disaggregated-streaming nexmark-auto-190851               1          4700013         4700013         0               -               -               -
disaggregated-streaming nexmark-auto-213939               1          5875013         5875013         0               -               -               -
disaggregated-streaming nexmark-formal-q6-20260715-060813 6          12              12              0               -               -               -
disaggregated-streaming nexmark-auto-181034               5          2625012         2625012         0               -               -               -
disaggregated-streaming nexmark-auto-201537               0          650013          650013          0               -               -               -
disaggregated-streaming nexmark-auto-202953               3          2496994         2950012         453018          -               -               -
disaggregated-streaming nexmark-auto-212300               1          2600012         5875012         3275000         -               -               -
disaggregated-streaming nexmark-auto-165237               0          64              64              0               -               -               -
disaggregated-streaming nexmark-auto-172533               3          12498           12498           0               -               -               -
disaggregated-streaming nexmark-auto-213939               6          5875013         5875013         0               -               -               -
disaggregated-streaming nexmark-auto-171129               7          12498           12498           0               -               -               -
disaggregated-streaming nexmark-auto-212300               0          2450013         5875013         3425000         -               -               -
disaggregated-streaming nexmark-auto-194255               2          925015          925015          0               -               -               -
disaggregated-streaming nexmark-auto-202953               4          2493353         2950013         456660          -               -               -
disaggregated-streaming q6-formal-20260715T174017Z-topic  2          5875012         5875012         0               -               -               -
disaggregated-streaming nexmark-auto-190851               2          4700012         4700012         0               -               -               -
disaggregated-streaming nexmark-formal-q6-20260715-060813 7          13              13              0               -               -               -
disaggregated-streaming nexmark-auto-181034               6          2625013         2625013         0               -               -               -
disaggregated-streaming nexmark-auto-201537               1          650012          650012          0               -               -               -
disaggregated-streaming nexmark-auto-212300               2          2450013         5875013         3425000         -               -               -
disaggregated-streaming nexmark-auto-194255               3          925014          925014          0               -               -               -
disaggregated-streaming nexmark-auto-172533               2          12500           12500           0               -               -               -
disaggregated-streaming nexmark-auto-171129               6          12499           12499           0               -               -               -
disaggregated-streaming nexmark-auto-213939               7          5875013         5875013         0               -               -               -
disaggregated-streaming nexmark-auto-202953               5          2505552         2950012         444460          -               -               -
disaggregated-streaming nexmark-formal-q6-20260715-060813 0          13              13              0               -               -               -
disaggregated-streaming nexmark-auto-190851               3          4700012         4700012         0               -               -               -
disaggregated-streaming q6-formal-20260715T174017Z-topic  3          5875012         5875012         0               -               -               -
